Object,qid,feature 1,feature 2,Score,Rank
347,1,1,0.313,-1.122,1686
348,1,0,0.483,2.898,540
349,1,1,0.24,-1.56,1764
350,1,1,0.739,1.434,991
351,1,1,0.853,2.118,772
352,1,1,0.958,2.748,590
353,1,0,0.813,4.878,199
354,1,0,0.984,5.904,19
355,1,1,0.752,1.512,967
356,1,1,0.332,-1.008,1659
357,1,1,0.415,-0.51,1569
358,1,0,0.824,4.944,189
359,1,0,0.453,2.718,603
360,1,1,0.939,2.634,619
361,1,0,0.308,1.848,866
362,1,0,0.426,2.556,640
363,1,1,0.369,-0.786,1621
364,1,1,0.775,1.65,921
365,1,1,0.117,-2.298,1883
366,1,0,0.696,4.176,321
367,1,0,0.956,5.736,52
368,1,1,0.197,-1.818,1809
369,1,1,0.423,-0.462,1563
370,1,0,0.023,0.138,1438
371,1,1,0.831,1.986,823
372,1,0,0.13,0.78,1215
373,1,0,0.79,4.74,230
374,1,1,0.03,-2.82,1981
375,1,1,0.764,1.584,943
376,1,0,0.291,1.746,899
377,1,1,0.753,1.518,966
378,1,0,0.913,5.478,115
379,1,1,0.925,2.55,643
380,1,1,0.821,1.926,846
381,1,1,0.052,-2.688,1945
382,1,1,0.669,1.014,1136
383,1,0,0.892,5.352,134
384,1,0,0.115,0.69,1248
385,1,0,0.186,1.116,1089
386,1,1,0.751,1.506,969
387,1,1,0.51,0.06,1462
388,1,0,0.074,0.444,1330
389,1,0,0.972,5.832,32
390,1,0,0.678,4.068,341
391,1,0,0.673,4.038,347
392,1,0,0.174,1.044,1123
393,1,0,0.473,2.838,562
394,1,1,0.229,-1.626,1773
395,1,1,0.593,0.558,1300
396,1,0,0.867,5.202,157
397,1,1,0.309,-1.146,1690
398,1,0,0.945,5.67,71
399,1,0,0.294,1.764,894
400,1,1,0.81,1.86,862
401,1,0,0.99,5.94,13
402,1,0,0.063,0.378,1360
403,1,1,0.353,-0.882,1637
404,1,1,0.558,0.348,1367
405,1,0,0.86,5.16,161
406,1,0,0.957,5.742,51
407,1,1,0.537,0.222,1415
408,1,1,0.549,0.294,1390
409,1,0,0.175,1.05,1118
410,1,1,0.257,-1.458,1742
411,1,0,0.95,5.7,65
412,1,0,0.306,1.836,869
413,1,0,0.562,3.372,456
414,1,1,0.662,0.972,1160
415,1,1,0.825,1.95,833
416,1,1,0.031,-2.814,1979
417,1,1,0.163,-2.022,1843
418,1,1,0.556,0.336,1369
419,1,1,0.742,1.452,984
420,1,0,0.357,2.142,760
421,1,1,0.061,-2.634,1931
422,1,0,0.481,2.886,544
423,1,1,0.4,-0.6,1584
424,1,1,0.11,-2.34,1887
425,1,1,0.674,1.044,1120
426,1,1,0.129,-2.226,1866
427,1,1,0.24,-1.56,1764
428,1,0,0.887,5.322,139
429,1,1,0.649,0.894,1183
430,1,1,0.554,0.324,1374
431,1,1,0.838,2.028,810
432,1,1,0.54,0.24,1405
433,1,1,0.544,0.264,1398
434,1,0,0.693,4.158,325
435,1,1,0.32,-1.08,1673
436,1,0,0.995,5.97,6
437,1,1,0.868,2.208,742
438,1,0,0.193,1.158,1080
439,1,0,0.514,3.084,498
440,1,0,0.549,3.294,461
441,1,0,0.479,2.874,547
442,1,0,0.205,1.23,1056
443,1,0,0.608,3.648,416
444,1,0,0.805,4.83,210
445,1,0,0.666,3.996,361
446,1,1,0.331,-1.014,1660
447,1,1,0.606,0.636,1270
448,1,0,0.701,4.206,315
449,1,0,0.733,4.398,282
450,1,1,0.888,2.328,708
451,1,0,0.779,4.674,240
452,1,1,0.837,2.022,812
453,1,0,0.038,0.228,1410
454,1,1,0.778,1.668,917
455,1,0,0.228,1.368,1009
456,1,1,0.473,-0.162,1512
457,1,0,0.564,3.384,454
458,1,0,0.165,0.99,1155
459,1,0,0.353,2.118,775
460,1,1,0.464,-0.216,1521
461,1,0,0.13,0.78,1215
462,1,0,0.053,0.318,1379
463,1,0,0.922,5.532,97
464,1,1,0.192,-1.848,1814
465,1,0,0.243,1.458,982
466,1,0,0.546,3.276,465
467,1,1,0.032,-2.808,1978
468,1,1,0.084,-2.496,1913
469,1,1,0.583,0.498,1318
470,1,0,0.138,0.828,1204
471,1,0,0.88,5.28,144
472,1,1,0.963,2.778,579
473,1,0,0.792,4.752,227
474,1,0,0.104,0.624,1279
475,1,1,0.726,1.356,1017
476,1,0,0.739,4.434,277
477,1,1,0.541,0.246,1403
478,1,0,0.038,0.228,1410
479,1,1,0.668,1.008,1139
480,1,1,0.044,-2.736,1960
481,1,0,0.938,5.628,80
482,1,0,0.241,1.446,987
483,1,0,0.518,3.108,491
484,1,1,0.976,2.856,554
485,1,0,0.674,4.044,346
486,1,1,0.743,1.458,980
487,1,1,0.598,0.588,1291
488,1,1,0.623,0.738,1227
489,1,1,0.656,0.936,1171
490,1,1,0.452,-0.288,1539
491,1,0,0.295,1.77,892
492,1,1,0.255,-1.47,1745
493,1,1,0.432,-0.408,1559
494,1,0,0.265,1.59,942
495,1,1,0.348,-0.912,1642
496,1,1,0.61,0.66,1261
497,1,1,0.692,1.152,1084
498,1,1,0.839,2.034,806
499,1,1,0.258,-1.452,1741
500,1,1,0.873,2.238,732
501,1,1,0.257,-1.458,1742
502,1,0,0.812,4.872,200
503,1,1,0.309,-1.146,1690
504,1,1,0.605,0.63,1275
505,1,1,0.546,0.276,1393
506,1,0,0.991,5.946,12
507,1,0,0.42,2.52,659
508,1,0,0.954,5.724,57
509,1,1,0.645,0.87,1192
510,1,1,0.061,-2.634,1931
511,1,1,0.548,0.288,1392
512,1,1,0.101,-2.394,1900
513,1,0,0.803,4.818,215
514,1,1,0.404,-0.576,1582
515,1,1,0.772,1.632,929
516,1,0,0.068,0.408,1350
517,1,0,0.31,1.86,863
518,1,1,0.045,-2.73,1957
519,1,0,0.535,3.21,472
520,1,1,0.665,0.99,1154
521,1,0,0.127,0.762,1223
522,1,0,0.805,4.83,210
523,1,0,0.507,3.042,508
524,1,1,0.817,1.902,849
525,1,0,0.347,2.082,785
526,1,0,0.945,5.67,71
527,1,0,0.18,1.08,1104
528,1,1,0.654,0.924,1178
529,1,1,0.037,-2.778,1967
530,1,0,0.614,3.684,411
531,1,1,0.831,1.986,823
532,1,0,0.65,3.9,376
533,1,1,0.085,-2.49,1912
534,1,1,0.216,-1.704,1787
535,1,0,0.95,5.7,65
536,1,0,0.178,1.068,1111
537,1,0,0.085,0.51,1315
538,1,0,0.056,0.336,1370
539,1,0,0.816,4.896,194
540,1,1,0.394,-0.636,1593
541,1,0,0.706,4.236,310
542,1,1,0.502,0.012,1484
543,1,0,0.472,2.832,564
544,1,1,0.684,1.104,1092
545,1,0,0.709,4.254,306
546,1,0,0.53,3.18,480
547,1,1,0.843,2.058,793
548,1,0,0.566,3.396,452
549,1,1,0.609,0.654,1264
550,1,1,0.183,-1.902,1823
551,1,1,0.615,0.69,1253
552,1,0,0.314,1.884,855
553,1,0,0.404,2.424,689
554,1,0,0.01,0.06,1465
555,1,0,0.322,1.932,842
556,1,0,0.462,2.772,581
557,1,1,0.271,-1.374,1730
558,1,0,0.409,2.454,680
559,1,1,0.341,-0.954,1649
560,1,1,0.634,0.804,1208
561,1,0,0.435,2.61,627
562,1,0,0.063,0.378,1360
563,1,1,0.239,-1.566,1766
564,1,0,0.806,4.836,207
565,1,1,0.391,-0.654,1598
566,1,0,0.425,2.55,646
567,1,1,0.052,-2.688,1945
568,1,0,0.122,0.732,1230
569,1,1,0.83,1.98,827
570,1,1,0.237,-1.578,1768
571,1,0,0.748,4.488,268
572,1,1,0.209,-1.746,1795
573,1,0,0.167,1.002,1147
574,1,0,0.323,1.938,837
575,1,0,0.661,3.966,368
576,1,0,0.875,5.25,151
577,1,1,0.919,2.514,662
578,1,1,0.05,-2.7,1949
579,1,0,0.793,4.758,226
580,1,0,0.706,4.236,310
581,1,1,0.323,-1.062,1669
582,1,0,0.066,0.396,1355
583,1,1,0.987,2.922,533
584,1,1,0.729,1.374,1007
585,1,1,0.285,-1.29,1711
586,1,0,0.279,1.674,915
587,1,1,0.758,1.548,952
588,1,0,0.983,5.898,22
589,1,1,0.68,1.08,1104
590,1,1,0.334,-0.996,1656
591,1,0,0.709,4.254,306
592,1,0,0.091,0.546,1301
593,1,1,0.621,0.726,1231
594,1,0,0.457,2.742,591
595,1,1,0.672,1.032,1128
596,1,0,0.867,5.202,157
597,1,0,0.273,1.638,926
598,1,1,0.363,-0.822,1627
599,1,1,0.144,-2.136,1850
600,1,1,0.508,0.048,1466
601,1,1,0.553,0.318,1376
602,1,1,0.506,0.036,1474
603,1,0,0.711,4.266,305
604,1,1,0.237,-1.578,1768
605,1,1,0.956,2.736,595
606,1,1,0.375,-0.75,1615
607,1,0,0.737,4.422,279
608,1,0,0.23,1.38,1005
609,1,1,0.66,0.96,1164
610,1,1,0.912,2.472,675
611,1,1,0.742,1.452,984
612,1,0,0.911,5.466,117
613,1,0,0.021,0.126,1440
614,1,1,0.952,2.712,609
615,1,1,0.464,-0.216,1521
616,1,1,0.47,-0.18,1516
617,1,0,0.92,5.52,101
618,1,0,0.204,1.224,1060
619,1,1,0.658,0.948,1167
620,1,1,0.228,-1.632,1774
621,1,1,0.984,2.904,537
622,1,0,0.742,4.452,272
623,1,1,0.151,-2.094,1846
624,1,1,0.171,-1.974,1834
625,1,1,0.132,-2.208,1862
626,1,0,0.979,5.874,25
627,1,1,0.621,0.726,1231
628,1,0,0.548,3.288,463
629,1,0,0.211,1.266,1046
630,1,0,0.698,4.188,318
631,1,0,0.566,3.396,452
632,1,0,0.362,2.172,751
633,1,0,0.352,2.112,776
634,1,0,0.686,4.116,331
635,1,0,0.986,5.916,18
636,1,0,0.996,5.976,5
637,1,0,0.155,0.93,1175
638,1,1,0.121,-2.274,1877
639,1,1,0.099,-2.406,1902
640,1,1,0.54,0.24,1405
641,1,0,0.26,1.56,950
642,1,1,0.739,1.434,991
643,1,1,0.374,-0.756,1617
644,1,0,0.969,5.814,34
645,1,1,0.721,1.326,1031
646,1,0,0.564,3.384,454
647,1,1,0.991,2.946,525
648,1,1,0.842,2.052,796
649,1,1,0.254,-1.476,1747
650,1,0,0.337,2.022,812
651,1,0,0.911,5.466,117
652,1,1,0.357,-0.858,1633
653,1,0,0.345,2.07,788
654,1,1,0.751,1.506,969
655,1,0,0.286,1.716,905
656,1,1,0.683,1.098,1098
657,1,1,0.169,-1.986,1838
658,1,1,0.409,-0.546,1578
659,1,1,0.503,0.018,1483
660,1,1,0.286,-1.284,1707
661,1,0,0.609,3.654,415
662,1,1,0.922,2.532,653
663,1,0,0.558,3.348,460
664,1,0,0.309,1.854,864
665,1,0,0.198,1.188,1065
666,1,0,0.35,2.1,780
667,1,0,0.961,5.766,46
668,1,1,0.848,2.088,783
669,1,1,0.287,-1.278,1705
670,1,0,0.07,0.42,1342
671,1,0,0.101,0.606,1287
672,1,0,0.852,5.112,165
673,1,0,0.821,4.926,191
674,1,1,0.104,-2.376,1894
675,1,1,0.462,-0.228,1526
676,1,1,0.875,2.25,723
677,1,1,0.839,2.034,806
678,1,0,0.084,0.504,1316
679,1,1,0.275,-1.35,1723
680,1,1,0.357,-0.858,1633
681,1,1,0.513,0.078,1455
682,1,0,0.407,2.442,685
683,1,1,0.25,-1.5,1755
684,1,0,0.99,5.94,13
685,1,1,0.389,-0.666,1600
686,1,0,0.694,4.164,324
687,1,1,0.661,0.966,1162
688,1,1,0.225,-1.65,1776
689,1,0,0.648,3.888,381
690,1,1,0.221,-1.674,1781
691,1,0,0.92,5.52,101
692,1,1,0.513,0.078,1455
693,1,0,0.323,1.938,837
694,1,1,0.022,-2.868,1985
695,1,0,0.811,4.866,202
696,1,1,0.644,0.864,1196
697,1,1,0.718,1.308,1038
698,1,1,0.646,0.876,1189
699,1,1,0.713,1.278,1042
700,1,0,0.751,4.506,264
701,1,0,0.377,2.262,721
702,1,1,0.045,-2.73,1957
703,1,1,0.635,0.81,1207
704,1,0,0.251,1.506,971
705,1,1,0.511,0.066,1460
706,1,0,0.334,2.004,817
707,1,0,0.875,5.25,151
708,1,1,0.52,0.12,1442
709,1,0,0.169,1.014,1138
710,1,1,0.67,1.02,1133
711,1,1,0.437,-0.378,1555
712,1,0,0.211,1.266,1046
713,1,0,0.731,4.386,287
714,1,1,0.616,0.696,1246
715,1,1,0.443,-0.342,1549
716,1,0,0.015,0.09,1451
717,1,0,0.14,0.84,1201
718,1,0,0.696,4.176,321
719,1,1,0.815,1.89,854
720,1,1,0.181,-1.914,1824
721,1,0,0.806,4.836,207
722,1,1,0.826,1.956,832
723,1,0,0.324,1.944,834
724,1,1,0.492,-0.048,1494
725,1,1,0.399,-0.606,1586
726,1,0,0.672,4.032,350
727,1,0,0.526,3.156,483
728,1,0,0.845,5.07,173
729,1,0,0.283,1.698,909
730,1,1,0.561,0.366,1363
731,1,0,0.888,5.328,137
732,1,1,0.568,0.408,1351
733,1,1,0.486,-0.084,1500
734,1,1,0.962,2.772,581
735,1,0,0.481,2.886,544
736,1,0,0.281,1.686,911
737,1,1,0.104,-2.376,1894
738,1,1,0.094,-2.436,1906
739,1,1,0.189,-1.866,1819
740,1,1,0.092,-2.448,1910
741,1,1,0.599,0.594,1289
742,1,0,0.474,2.844,560
743,1,1,0.678,1.068,1109
744,1,0,0.972,5.832,32
745,1,0,0.241,1.446,987
746,1,0,0.786,4.716,233
747,1,0,0.339,2.034,805
748,1,1,0.346,-0.924,1645
749,1,0,0.733,4.398,282
750,1,0,0.713,4.278,302
751,1,0,0.345,2.07,788
752,1,1,0.608,0.648,1265
753,1,1,0.413,-0.522,1573
754,1,1,0.099,-2.406,1902
755,1,1,0.047,-2.718,1953
756,1,1,0.913,2.478,670
757,1,0,0.133,0.798,1210
758,1,1,0.088,-2.472,1911
759,1,0,0.46,2.76,587
760,1,0,0.641,3.846,386
761,1,1,0.9,2.4,692
762,1,0,0.028,0.168,1430
763,1,1,0.791,1.746,896
764,1,1,0.171,-1.974,1834
765,1,0,0.559,3.354,458
766,1,0,0.226,1.356,1016
767,1,1,0.723,1.338,1022
768,1,0,0.354,2.124,768
769,1,1,0.599,0.594,1289
770,1,0,0.95,5.7,65
771,1,0,0.72,4.32,299
772,1,1,0.921,2.526,655
773,1,0,0.188,1.128,1088
774,1,1,0.684,1.104,1092
775,1,0,0.805,4.83,210
776,1,0,0.86,5.16,161
777,1,0,0.373,2.238,730
778,1,0,0.846,5.076,170
779,1,1,0.19,-1.86,1816
780,1,0,0.301,1.806,881
781,1,1,0.218,-1.692,1785
782,1,0,0.406,2.436,686
783,1,0,0.503,3.018,512
784,1,1,0.933,2.598,630
785,1,0,0.705,4.23,314
786,1,1,0.32,-1.08,1673
787,1,1,0.049,-2.706,1951
788,1,0,0.337,2.022,812
789,1,1,0.126,-2.244,1869
790,1,0,0.004,0.024,1481
791,1,0,0.346,2.076,786
792,1,0,0.755,4.53,263
793,1,1,0.983,2.898,540
794,1,1,0.795,1.77,890
795,1,1,0.833,1.998,818
796,1,0,0.954,5.724,57
797,1,1,0.706,1.236,1054
798,1,0,0.515,3.09,496
799,1,1,0.068,-2.592,1923
800,1,1,0.567,0.402,1354
801,1,1,0.568,0.408,1351
802,1,1,0.666,0.996,1149
803,1,1,0.816,1.896,850
804,1,0,0.911,5.466,117
805,1,1,0.884,2.304,713
806,1,1,0.11,-2.34,1887
807,1,1,0.107,-2.358,1891
808,1,0,0.303,1.818,877
809,1,1,0.672,1.032,1128
810,1,0,0.071,0.426,1339
811,1,0,0.277,1.662,919
812,1,0,0.254,1.524,961
813,1,0,0.921,5.526,99
814,1,1,0.338,-0.972,1654
815,1,1,0.233,-1.602,1770
816,1,1,0.555,0.33,1372
817,1,1,0.139,-2.166,1855
818,1,1,0.842,2.052,796
819,1,1,0.843,2.058,793
820,1,1,0.92,2.52,658
821,1,0,0.534,3.204,473
822,1,0,0.928,5.568,94
823,1,0,0.617,3.702,409
824,1,1,0.06,-2.64,1934
825,1,0,0.524,3.144,485
826,1,0,0.077,0.462,1326
827,1,0,0.91,5.46,120
828,1,0,0.664,3.984,363
829,1,1,0.097,-2.418,1904
830,1,1,0.153,-2.082,1845
831,1,0,0.951,5.706,62
832,1,1,0.38,-0.72,1609
