Object,qid,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13,feature 14,feature 15,Score,Rank
47,1,1,0.546,0.248,0.465,0.682,0.785,0.269,0.057,0.155,1,0.104,0.294,0.762,0.81,0.802,-1.252,1212
48,1,1,0.047,0.233,0.006,0.757,0.025,0.618,0.555,0.353,1,0.904,0.562,0.588,0.72,0.218,-6.774,1820
49,1,0,0.202,0.04,0.217,0.371,0.286,0.344,0.357,0.874,0,0.592,0.721,0.691,0.645,0.776,-10.989,1979
50,1,1,0.506,0.666,0.406,0.234,0.768,0.617,0.128,0.039,0,0.75,0.109,0.614,0.192,0.746,1.781,751
51,1,0,0.421,0.487,0.765,0.143,0.132,0.811,0.822,0.105,0,0.064,0.66,0.981,0.071,0.509,-4.079,1558
52,1,0,0.395,0.919,0.605,0.54,0.657,0.812,0.732,0.141,0,0.863,0.073,0.771,0.65,0.241,4.548,388
53,1,0,0.472,0.5,0.641,0.735,0.797,0.57,0.704,0.357,1,0.106,0.586,0.381,0.901,0.132,6.334,210
54,1,0,0.062,0.641,0.098,0.507,0.509,0.363,0.233,0.175,0,0.721,0.704,0.145,0.987,0.241,-1.415,1232
55,1,1,0.069,0.614,0.129,0.701,0.778,0.863,0.53,0.482,1,0.956,0.304,0.134,0.548,0.598,1.701,762
56,1,0,0.19,0.827,0.701,0.606,0.212,0.263,0.054,0.551,0,0.923,0.164,0.069,0.134,0.733,0.201,991
57,1,0,0.408,0.057,0.656,0.962,0.225,0.134,0.699,0.693,0,0.336,0.678,0.521,0.669,0.889,-6.354,1788
58,1,0,0.042,0.028,0.561,0.766,0.565,0.252,0.784,0.37,0,0.861,0.159,0.955,0.957,0.091,0.178,995
59,1,1,0.985,0.539,0.155,0.387,0.177,0.719,0.154,0.172,1,0.04,0.103,0.67,0.028,0.316,1.543,783
60,1,1,0.727,0.722,0.215,0.485,0.203,0.852,0.54,0.958,0,0.698,0.394,0.77,0.811,0.725,-7.028,1834
61,1,1,0.49,0.084,0.744,0.173,0.728,0.137,0.681,0.041,0,0.961,0.228,0.914,0.157,0.756,-1.254,1213
62,1,1,0.456,0.269,0.637,0.427,0.542,0.233,0.456,0.496,1,0.366,0.983,0.73,0.446,0.81,-5.109,1674
63,1,0,0.417,0.567,0.397,0.976,0.723,0.566,0.917,0.507,1,0.038,0.044,0.288,0.63,0.657,4.153,434
64,1,0,0.937,0.472,0.146,0.231,0.703,0.96,0.604,0.493,0,0.232,0.412,0.765,0.144,0.244,4.139,438
65,1,0,0.401,0.455,0.678,0.674,0.302,0.102,0.093,0.741,1,0.915,0.418,0.91,0.4,0.765,-6.105,1772
66,1,1,0.63,0.655,0.914,0.97,0.993,0.617,0.28,0.662,1,0.524,0.72,0.235,0.027,0.909,8.288,91
67,1,0,0.829,0.054,0.406,0.901,0.015,0.763,0.429,0.059,1,0.23,0.589,0.731,0.627,0.666,-7.847,1885
68,1,0,0.811,0.15,0.285,0.571,0.397,0.347,0.199,0.726,1,0.047,0.77,0.744,0.758,0.658,-6.713,1815
69,1,0,0.478,0.348,0.411,0.619,0.404,0.472,0.368,0.279,0,0.177,0.231,0.317,0.345,0.489,1.849,740
70,1,1,0.699,0.08,0.588,0.717,0.515,0.67,0.919,0.182,0,0.705,0.968,0.822,0.739,0.79,-5.472,1710
71,1,0,0.571,0.507,0.421,0.885,0.144,0.421,0.29,0.163,0,0.606,0.04,0.756,0.002,0.234,3.506,505
72,1,0,0.49,0.453,0.789,0.301,0.841,0.006,0.403,0.786,1,0.433,0.728,0.282,0.425,0.133,6.777,183
73,1,1,0.512,0.52,0.185,0.636,0.073,0.123,0.69,0.193,1,0.249,0.056,0.691,0.037,0.34,0.219,987
74,1,0,0.725,0.72,0.61,0.588,0.191,0.761,0.159,0.792,0,0.789,0.452,0.576,0.854,0.736,-5.968,1760
75,1,1,0.486,0.154,0.024,0.838,0.817,0.546,0.958,0.985,0,0.755,0.768,0.183,0.321,0.495,3.789,469
76,1,1,0.036,0.308,0.094,0.078,0.19,0.299,0.783,0.173,0,0.984,0.517,0.101,0.98,0.036,-4.521,1608
77,1,0,0.805,0.065,0.749,0.25,0.814,0.153,0.527,0.859,1,0.721,0.455,0.743,0.35,0.763,-1.968,1306
78,1,1,0.923,0.293,0.484,0.627,0.702,0.261,0.489,0.052,1,0.525,0.968,0.731,0.18,0.944,-2.402,1361
79,1,0,0.587,0.415,0.826,0.113,0.541,0.44,0.298,0.102,0,0.005,0.834,0.439,0.509,0.665,-1.765,1275
80,1,0,0.267,0.202,0.745,0.156,0.39,0.035,0.572,0.777,1,0.321,0.265,0.493,0.507,0.659,-4.734,1631
81,1,0,0.816,0.788,0.501,0.902,0.456,0.227,0.677,0.222,0,0.464,0.555,0.997,0.347,0.332,3.434,516
82,1,1,0.916,0.95,0.184,0.771,0.745,0.802,0.267,0.072,0,0.168,0.541,0.471,0.108,0.537,7.97,112
83,1,0,0.342,0.222,0.291,0.908,0.525,0.234,0.842,0.966,0,0.706,0.515,0.59,0.289,0.778,-2.238,1336
84,1,1,0.254,0.394,0.143,0.945,1,0.107,0.905,0.906,0,0.111,0.277,0.353,0.656,0.719,5.052,333
85,1,0,0.598,0.537,0.399,0.662,0.328,0.925,0.114,0.631,1,0.802,0.025,0.612,0.344,0.863,-4.484,1605
86,1,0,0.511,0.438,0.848,0.51,0.888,0.958,0.813,1,0,0.76,0.365,0.479,0.225,0.533,6.172,229
87,1,1,0.589,0.914,0.232,0.26,0.05,0.106,0.767,0.93,1,0.677,0.317,0.183,0.735,0.266,-2.724,1397
88,1,0,0.053,0.546,0.739,0.912,0.737,0.876,0.568,0.888,1,0.968,0.65,0.169,0.238,0.766,2.218,675
89,1,1,0.487,0.834,0.728,0.599,0.881,0.711,0.377,0.198,1,0.894,0.687,0.6,0.577,0.402,5.039,338
90,1,0,0.263,0.539,0.518,0.187,0.309,0.61,0.794,0.475,0,0.557,0.694,0.842,0.558,0.273,-3.844,1539
91,1,1,0.806,0.302,0.02,0.415,0.962,0.784,0.199,0.447,1,0.183,0.851,0.606,0.139,0.04,7.855,115
92,1,0,0.26,0.662,0.505,0.369,0.405,0.44,0.621,0.201,0,0.515,0.757,0.303,0.127,0.156,3.713,484
93,1,0,0.984,0.003,0.161,0.107,0.647,0.952,0.466,0.487,1,0.409,0.546,0.347,0.446,0.48,-2.248,1339
94,1,0,0.052,0.17,0.096,0.797,0.989,0.936,0.535,0.82,0,0.735,0.385,0.581,0.378,0.346,4.574,384
95,1,1,0.86,0.04,0.083,0.046,0.811,0.463,0.683,0.599,0,0.118,0.019,0.26,0.403,0.211,6.054,239
96,1,0,0.269,0.16,0.975,0.139,0.689,0.177,0.546,0.375,1,0.991,0.952,0.44,0.089,0.111,3.35,531
97,1,1,0.126,0.128,0.553,0.941,0.191,0.482,0.455,0.976,0,0.734,0.567,0.306,0.717,0.219,0.295,973
98,1,1,0.042,0.895,0.599,0.341,0.788,0.446,0.505,0.914,1,0.626,0.275,0.943,0.524,0.419,2.091,697
99,1,0,0.907,0.764,0.526,0.934,0.865,0.003,0.156,0.433,0,0.75,0.332,0.47,0.651,0.728,4.619,377
100,1,1,0.709,0.114,0.674,0.602,0.643,0.386,0.369,0.626,1,0.236,0.283,0.591,0.719,0.105,5.566,289
101,1,0,0.107,0.057,0.86,0.996,0.517,0.748,0.681,0.764,1,0.998,0.52,0.953,0.888,0.157,-0.403,1087
102,1,1,0.808,0.281,0.465,0.175,0.379,0.619,0.916,0.62,1,0.837,0.247,0.559,0.732,0.708,-6.407,1790
103,1,1,0.251,0.187,0.09,0.446,0.404,0.995,0.185,0.972,0,0.11,0.038,0.67,0.035,0.742,-1.916,1296
104,1,1,0.723,0.698,0.083,0.663,0.573,0.332,0.504,0.265,0,0.802,0.517,0.675,0.104,0.761,-0.068,1035
105,1,0,0.094,0.653,0.242,0.809,0.987,0.479,0.33,0.761,1,0.139,0.827,0.047,0.766,0.231,6.943,170
106,1,0,0.725,0.378,0.666,0.645,0.59,0.406,0.29,0.067,1,0.242,0.447,0.155,0.293,0.066,8.803,75
107,1,1,0.564,0.632,0.345,0.867,0.932,0.852,0.513,0.387,1,0.852,0.55,0.819,0.366,0.892,0.679,905
108,1,0,0.963,0.34,0.745,0.344,0.599,0.668,0.132,0.976,1,0.939,0.757,0.833,0.345,0.917,-5.74,1741
109,1,0,0.149,0.863,0.213,0.917,0.509,0.086,0.745,0.221,1,0.101,0.453,0.278,0.257,0.506,3.396,526
110,1,0,0.665,0.244,0.99,0.186,0.634,0.412,0.808,0.97,0,0.861,0.347,0.062,0.526,0.054,7.111,156
111,1,1,0.059,0.798,0.612,0.251,0.532,0.097,0.179,0.875,0,0.059,0.14,0.054,0.243,0.132,9.246,64
112,1,1,0.006,0.04,0.888,0.583,0.181,0.964,0.784,0.313,0,0.49,0.262,0.602,0.732,0.689,-5.315,1688
113,1,0,0.172,0.881,0.13,0.65,0.98,0.052,0.599,0.695,1,0.02,0.988,0.959,0.086,0.545,2.837,588
114,1,0,0.391,0.039,0.743,0.367,0.817,0.762,0.024,0.837,1,0.35,0.774,0.032,0.599,0.203,4.701,365
115,1,1,0.696,0.162,0.291,0.563,0.789,0.654,0.43,0.194,0,0.483,0.829,0.566,0.574,0.12,4.96,344
116,1,0,0.729,0.413,0.896,0.166,0.243,0.921,0.782,0.668,1,0.25,0.216,0.494,0.618,0.293,-0.603,1113
117,1,0,0.634,0.942,0.858,0.194,0.784,0.115,0.963,0.871,0,0.202,0.365,0.139,0.475,0.096,10.946,28
118,1,1,0.069,0.166,0.935,0.836,0.147,0.845,0.207,0.268,1,0.897,0.523,0.433,0.812,0.16,-0.729,1136
119,1,0,0.102,0.361,0.733,0.94,0.717,0.593,0.072,0.064,1,0.611,0.776,0.792,0.186,0.981,-2.369,1356
120,1,1,0.453,0.985,0.465,0.511,0.474,0.458,0.887,0.175,1,0.356,0.691,0.312,0.362,0.205,5.123,325
121,1,0,0.378,0.982,0.457,0.23,0.681,0.016,0.481,0.299,0,0.366,0.88,0.356,0.907,0.108,3.079,561
122,1,0,0.994,0.298,0.287,0.576,0.69,0.47,0.496,0.16,0,0.812,0.617,0.39,0.085,0.613,2.22,674
123,1,1,0.518,0.963,0.999,0.102,0.006,0.82,0.531,0.535,0,0.322,0.899,0.569,0.213,0.106,1.749,753
124,1,1,0.993,0.215,0.311,0.023,0.649,0.231,0.965,0.554,0,0.37,0.205,0.435,0.913,0.474,-0.92,1168
125,1,1,0.517,0.02,0.492,0.246,0.996,0.096,0.823,0.323,0,0.908,0.394,0.423,0.594,0.132,6.272,218
126,1,1,0.415,0.633,0.485,0.7,0.934,0.81,0.451,0.544,0,0.495,0.364,0.057,0.667,0.526,7.604,127
127,1,0,0.178,0.706,0.225,0.415,0.873,0.033,0.074,0.28,1,0.799,0.244,0.63,0.447,0.712,-1.026,1179
128,1,0,0.097,0.591,0.675,0.203,0.634,0.332,0.097,0.073,1,0.036,0.988,0.294,0.415,0.512,-0.385,1084
129,1,1,0.467,0.398,0.598,0.177,0.159,0.664,0.23,0.608,1,0.761,0.22,0.351,0.714,0.389,-4.051,1554
130,1,1,0.757,0.678,0.974,0.975,0.648,0.14,0.749,0.976,1,0.071,0.351,0.787,0.202,0.101,12.436,11
131,1,1,0.212,0.438,0.434,0.772,0.758,0.744,0.062,1,1,0.364,0.466,0.617,0.475,0.975,-1.805,1279
132,1,1,0.139,0.253,0.18,0.146,0.723,0.092,0.439,0.441,1,0.441,0.892,0.262,0.345,0.858,-5.194,1680
133,1,1,0.141,0.502,0.256,0.159,0.619,0.311,0.241,0.674,0,0.127,0.139,0.81,0.264,0.032,5.246,314
134,1,0,0.369,0.615,0.155,0.713,0.795,0.891,0.767,0.507,1,0.446,0.685,0.86,0.922,0.812,-5.399,1698
135,1,0,0.426,0.051,0.496,0.422,0.433,0.904,0.06,0.942,1,0.843,0.84,0.208,0.158,0.674,-4.139,1564
136,1,1,0.228,0.271,0.643,0.56,0.179,0.539,0.872,0.858,0,0.63,0.56,0.303,0.157,0.23,2.194,679
137,1,1,0.508,0.718,0.803,0.18,0.42,0.315,0.51,0.353,1,0.433,0.376,0.62,0.237,0.039,5.433,299
138,1,1,0.841,0.513,0.24,0.773,0.507,0.505,0.376,0.995,1,0.985,0.889,0.83,0.606,0.325,-1.121,1192
139,1,0,0.194,0.148,0.774,0.004,0.761,0.746,0.172,0.388,0,0.791,0.34,0.666,0.601,0.892,-5.633,1727
140,1,1,0.437,0.173,0.63,0.867,0.274,0.469,0.059,0.245,0,0.804,0.755,0.58,0.548,0.882,-5.765,1742
141,1,0,0.257,0.912,0.777,0.718,0.642,0.079,0.604,0.339,1,0.512,0.517,0.564,0.689,0.963,-2.538,1378
142,1,0,0.34,0.668,0.278,0.517,0.906,0.99,0.1,0.603,1,0.64,0.04,0.513,0.477,0.811,0.494,930
143,1,1,0.735,0.981,0.843,0.976,0.685,0.81,0.87,0.772,1,0.811,0.412,0.472,0.548,0.584,6.189,228
144,1,0,0.118,0.746,0.554,0.992,0.301,0.765,0.962,0.148,1,0.048,0.033,0.016,0.793,0.489,2.546,627
145,1,0,0.538,0.494,0.03,0.075,0.465,0.191,0.877,0.465,1,0.923,0.387,0.921,0.848,0.389,-8.118,1897
146,1,1,0.582,0.568,0.87,0.697,0.142,0.219,0.5,0.995,0,0.292,0.378,0.717,0.278,0.454,1.737,757
147,1,1,0.248,0.225,0.5,0.435,0.631,0.097,0.034,0.83,0,0.152,0.43,0.31,0.021,0.371,6.007,246
148,1,1,0.731,0.488,0.296,0.972,0.772,0.012,0.091,0.347,0,0.1,0.664,0.607,0.54,0.655,3.82,464
149,1,0,0.084,0.224,0.056,0.243,0.614,0.471,0.097,0.287,0,0.766,0.067,0.657,0.756,0.258,-2.302,1347
150,1,1,0.286,0.007,0.711,0.558,0.318,0.451,0.897,0.461,0,0.228,0.335,0.455,0.669,0.612,-2.339,1354
151,1,0,0.943,0.199,0.08,0.893,0.066,0.523,0.172,0.56,1,0.263,0.847,0.27,0.637,0.159,-1.994,1311
152,1,1,0.012,0.303,0.062,0.51,0.44,0.053,0.821,0.783,1,0.345,0.867,0.577,0.42,0.928,-8.848,1929
153,1,1,0.623,0.55,0.744,0.934,0.536,0.946,0.564,0.356,1,0.905,0.821,0.04,0.48,0.434,4.729,360
154,1,0,0.331,0.544,0.893,0.5,0.491,0.05,0.163,0.938,1,0.534,0.634,0.152,0.267,0.751,-0.147,1047
155,1,1,0.495,0.451,0.292,0.611,0.695,0.605,0.577,0.871,0,0.025,0.972,0.48,0.022,0.357,5.95,250
156,1,1,0.205,0.109,0.826,0.651,0.928,0.214,0.567,0.513,1,0.544,0.406,0.188,0.429,0.489,6.483,200
157,1,1,0.254,0.315,0.359,0.293,0.819,0.229,0.678,0.321,0,0.349,0.208,0.63,0.246,0.47,3.772,475
158,1,0,0.344,0.191,0.779,0.861,0.943,0.416,0.91,0.396,1,0.669,0.284,0.858,0.093,0.471,6.315,213
159,1,0,0.026,0.522,0.266,0.862,0.585,0.195,0.594,0.518,0,0.499,0.818,0.092,0.202,0.743,0.582,919
160,1,0,0.795,0.422,0.576,0.454,0.689,0.457,0.837,0.867,0,0.675,0.354,0.164,0.751,0.873,-1.233,1209
161,1,1,0.677,0.038,0.409,0.343,0.383,0.603,0.395,0.865,1,0.785,0.147,0.957,0.041,0.688,-4.275,1578
162,1,1,0.723,0.547,0.191,0.588,0.937,0.864,0.407,0.548,0,0.916,0.14,0.471,0.813,0.95,-0.54,1102
163,1,0,0.906,0.857,0.389,0.376,0.726,0.284,0.505,0.981,1,0.621,0.474,0.953,0.98,0.329,-0.587,1110
164,1,1,0.253,0.565,0.552,0.107,0.278,0.38,0.662,0.135,0,0.702,0.465,0.701,0.372,0.006,1.201,829
165,1,1,0.379,0.172,0.111,0.473,0.439,0.451,0.597,0.149,1,0.723,0.104,0.209,0.917,0.361,-2.316,1349
166,1,1,0.683,0.247,0.842,0.335,0.779,0.946,0.966,0.225,1,0.243,0.281,0.223,0.426,0.056,10.029,47
167,1,0,0.039,0.761,0.624,0.115,0.677,0.022,0.205,0.814,1,0.561,0.458,0.619,0.591,0.465,-1.375,1227
168,1,0,0.63,0.439,0.27,0.322,0.486,0.531,0.352,0.48,0,0.525,0.174,0.289,0.054,0.116,5.969,248
169,1,0,0.219,0.863,0.592,0.107,0.419,0.671,0.422,0.319,1,0.724,0.33,0.275,0.781,0.338,-1.703,1270
170,1,0,0.489,0.471,0.524,0.108,0.432,0.008,0.608,0.814,1,0.753,0.2,0.206,0.204,0.577,-1.373,1225
171,1,1,0.573,0.985,0.867,0.321,0.309,0.856,0.141,0.609,1,0.986,0.604,0.517,0.171,0.714,-1.583,1261
172,1,0,0.917,0.531,0.907,0.675,0.826,0.083,0.077,0.331,0,0.349,0.84,0.618,0.344,0.262,8.66,83
173,1,1,0.57,0.774,0.007,0.357,0.678,0.826,0.127,0.807,1,0.795,0.743,0.823,0.228,0.857,-4.766,1635
174,1,1,0.281,0.563,0.603,0.515,0.15,0.1,0.331,0.516,1,0.569,0.711,0.829,0.453,0.076,-0.874,1160
175,1,1,0.581,0.846,0.869,0.584,0.81,0.256,0.184,0.35,1,0.703,0.372,0.224,0.675,0.138,10.023,49
176,1,0,0.706,0.351,0.444,0.957,0.368,0.818,0.704,0.73,0,0.724,0.432,0.711,0.141,0.632,0.093,1005
177,1,0,0.623,0.86,0.128,0.314,0.603,0.373,0.56,0.764,0,0.39,0.211,0.848,0.666,0.987,-6.067,1769
178,1,1,0.987,0.082,0.98,0.008,0.536,0.561,0.176,0.045,1,0.583,0.296,0.251,0.731,0.114,3.687,488
179,1,0,0.683,0.548,0.4,0.646,0.051,0.516,0.401,0.519,1,0.436,0.178,0.681,0.584,0.817,-7.87,1887
180,1,0,0.373,0.028,0.614,0.192,0.333,0.872,0.542,0.887,0,0.901,0.812,0.32,0.467,0.536,-5.637,1729
181,1,0,0.852,0.826,0.547,0.872,0.289,0.589,0.42,0.902,0,0.905,0.527,0.542,0.088,0.148,6.141,231
182,1,1,0.607,0.345,0.314,0.677,0.265,0.773,0.681,0.56,0,0.143,0.4,0.127,0.551,0.601,-0.219,1057
183,1,1,0.508,0.285,0.393,0.452,0.578,0.266,0.33,0.212,1,0.7,0.4,0.754,0.543,0.223,0.922,865
184,1,0,0.75,0.43,0.146,0.849,0.132,0.911,0.985,0.449,1,0.88,0.687,0.871,0.292,0.028,-1.106,1189
185,1,1,0.535,0.523,0.635,0.076,0.174,0.024,0.858,0.438,1,0.789,0.326,0.435,0.128,0.856,-6.197,1776
186,1,1,0.569,0.318,0.515,0.043,0.909,0.761,0.381,0.209,1,0.535,0.981,0.766,0.399,0.79,-3.515,1497
187,1,1,0.51,0.062,0.497,0.598,0.122,0.693,0.621,0.514,0,0.346,0.446,0.154,0.932,0.546,-4.362,1595
188,1,0,0.65,0.03,0.441,0.463,0.462,0.922,0.335,0.633,1,0.031,0.547,0.549,0.011,0.221,2.925,580
189,1,1,0.36,0.523,0.611,0.707,0.19,0.273,0.933,0.58,0,0.054,0.989,0.502,0.772,0.871,-6.485,1794
190,1,1,0.629,0.121,0.806,0.996,0.408,0.252,0.718,0.793,0,0.415,0.979,0.298,0.462,0.54,2.236,672
191,1,0,0.167,0.53,0.918,0.725,0.952,0.086,0.921,0.124,1,0.333,0.594,0.444,0.179,0.367,8.952,71
192,1,1,0.367,0.714,0.658,0.385,0.356,0.241,0.176,0.248,0,0.163,0.233,0.932,0.951,0.162,0.865,879
193,1,1,0.297,0.482,0.913,0.933,0.388,0.099,0.525,0.251,0,0.301,0.493,0.854,0.402,0.779,-0.06,1032
194,1,0,0.11,0.586,0.518,0.833,0.099,0.458,0.933,0.489,0,0.68,0.329,0.319,0.904,0.845,-7.388,1858
195,1,0,0.044,0.77,0.256,0.491,0.925,0.767,0.75,0.219,0,0.655,0.824,0.378,0.874,0.499,0.473,934
196,1,1,0.594,0.239,0.393,0.933,0.992,0.002,0.536,0.841,0,0.819,0.663,0.372,0.619,0.086,9.992,52
197,1,0,0.529,0.925,0.72,0.751,0.327,0.983,0.144,0.012,0,0.688,0.174,0.26,0.348,0.193,7.13,154
198,1,0,0.163,0.397,0.223,0.852,0.269,0.25,0.558,0.842,1,0.795,0.803,0.795,0.56,0.284,-4.46,1603
199,1,0,0.732,0.156,0.666,0.153,0.829,0.356,0.848,0.207,1,0.473,0.231,0.327,0.507,0.909,-1.921,1298
200,1,0,0.434,0.259,0.692,0.23,0.272,0.29,0.738,0.494,1,0.458,0.065,0.398,0.324,0.374,-0.78,1149
201,1,0,0.375,0.368,0.219,0.232,0.094,0.872,0.889,0.071,1,0.772,0.359,0.973,0.838,0.835,-15.223,1999
202,1,0,0.72,0.689,0.097,0.378,0.438,0.279,0.061,0.044,1,0.093,0.382,0.992,0.644,0.608,-5.435,1703
203,1,1,0.463,0.328,0.056,0.766,0.629,0.416,0.365,0.831,1,0.678,0.119,0.631,0.33,0.495,1.417,802
204,1,1,0.989,0.636,0.962,0.59,0.803,0.459,0.291,0.423,1,0.471,0.44,0.174,0.763,0.129,10.651,36
205,1,1,0.301,0.004,0.779,0.257,0.481,0.104,0.107,0.749,1,0.101,0.378,0.096,0.463,0.649,-0.7,1130
206,1,0,0.282,0.626,0.782,0.17,0.385,0.003,0.175,0.726,1,0.535,0.061,0.768,0.629,0.435,-2.55,1381
